Dataset	Marker	CTD_score
ERR2109177	recA	0.20454545454545453
ERR2109177	rL10P	1.090909090909091
ERR2109177	rpoB	0.20454545454545456
ERR2109177	pyrG	0.8068181818181818
ERR2109177	rps8	0.625
SRR3191595	recA	0.2755102040816326
SRR3191595	rL10P	0.7244897959183674
SRR3191595	rpoB	1.0714285714285714
SRR3191595	pyrG	0.40816326530612246
SRR3191595	rps8	0.15306122448979592
SRR5344355	recA	0.11904761904761904
SRR5344355	rL10P	0.30952380952380953
SRR5344355	rpoB	1.0476190476190477
SRR5344355	rps8	0.2857142857142857
SRR5344355	pyrG	0.42857142857142855
SRR7820386	recA	0.016055045871559634
SRR7820386	rL10P	0.009174311926605505
SRR7820386	rpoB	2.620412844036697
SRR7820386	pyrG	0.07568807339449542
SRR7820386	rps8	0.5389908256880734
DRR129261	recA	0.3793103448275862
DRR129261	rL10P	0.896551724137931
DRR129261	rpoB	1.1379310344827587
DRR129261	pyrG	0.7241379310344828
DRR129261	rps8	0.4827586206896552
SRR7647306	recA	0.6429378531073446
SRR7647306	rL10P	0.7322033898305085
SRR7647306	rpoB	1.328813559322034
SRR7647306	pyrG	0.8
SRR7647306	rps8	0.007909604519774013
SRR7690687	recA	1.1295585412667948
SRR7690687	rL10P	0.5508637236084453
SRR7690687	rpoB	0.8579654510556622
SRR7690687	pyrG	0.6065259117082534
SRR7690687	rps8	0.2927063339731286
ERR2724039	recA	1.8100810081008103
ERR2724039	rL10P	0.8595859585958596
ERR2724039	rpoB	0.004500450045004501
ERR2724039	pyrG	0.7164716471647166
ERR2724039	rps8	0.14851485148514854
SRR2671868	rL10P	1.3181818181818181
SRR2671868	pyrG	0.4090909090909091
SRR2671868	rps8	1.727272727272727
